"Presence_absence","Longitude","Latitude","Day","Month","Year","PC1","PC2","PC3","PC4","PC5","PC6"
1,-97.86,37.81,1,"November",2020,-0.944668591022491,-0.432790368795395,-0.642901659011841,-0.504641830921173,-0.0131025202572346,-0.0255705341696739
1,-95.45,38.97,5,"November",2020,-1.01664483547211,-0.277251213788986,-0.844385027885437,-0.420812368392944,0.0453971512615681,0.0262242797762156
1,-96.49,38.69,3,"November",2020,-0.987446486949921,-0.358744353055954,-0.740721702575684,-0.47350400686264,0.0146987307816744,0.0107588935643435
1,-94.68,38.51,4,"November",2020,-1.05649435520172,-0.327266365289688,-0.739230811595917,-0.379620492458344,-0.0135989002883434,0.0519277304410934
1,-99.55,39.38,2,"November",2020,-1.18284225463867,-0.649683237075806,-0.314515024423599,-0.871440887451172,0.207873448729515,-0.272819846868515
0,-96.49,38.69,31,"October",2020,-0.987446486949921,-0.358744353055954,-0.740721702575684,-0.47350400686264,0.0146987307816744,0.0107588935643435
0,-97.21,36.11,5,"November",2020,-0.677000641822815,-0.372752606868744,-0.807395577430725,-0.480298101902008,-0.0128594813868403,0.0429363586008549
0,-97.39,35.65,5,"November",2020,-0.595041275024414,-0.297443807125092,-0.928098678588867,-0.413366198539734,-0.0101586505770683,0.12578558921814
1,-95.45,38.97,12,"October",2020,0.345086395740509,-0.352512240409851,-1.06769502162933,-0.419391602277756,0.0300989877432585,0.043081272393465
0,-97.39,35.65,10,"October",2020,0.759217023849487,-0.477268993854523,-1.04405295848846,-0.492950439453125,-0.162676393985748,0.089552640914917
0,-97.21,36.11,8,"October",2020,0.644320964813232,-0.541614472866058,-0.920821189880371,-0.566729664802551,-0.107706040143967,0.00196507479995489
1,-95.45,38.97,6,"November",2021,-1.65408194065094,0.0448058545589447,-0.882034063339233,0.0344987995922565,0.177856892347336,0.191255614161491
0,-97.21,36.11,8,"November",2021,-1.37870299816132,0.600525200366974,-0.868136346340179,-0.0578973367810249,0.261170148849487,0.15045739710331
0,-97.39,35.65,5,"November",2021,-1.33615851402283,0.729803800582886,-0.882751762866974,-0.0223395340144634,0.251789152622223,0.21225842833519
1,-95.45,38.97,18,"November",2021,-2.06317043304443,-0.135606646537781,-0.694522380828857,-0.137029692530632,0.000460040173493326,0.0886942073702812
1,-99.55,39.38,22,"November",2021,-2.22648501396179,-0.171721503138542,-0.621805250644684,-0.231381669640541,0.0683766826987267,-0.176063492894173
0,-94.8,37.35,21,"November",2021,-1.82348966598511,-0.0118323294445872,-0.695537507534027,-0.195454210042953,0.0174365043640137,0.0779230818152428
0,-97.86,37.81,21,"November",2021,-1.9109753370285,-0.211369425058365,-0.639687240123749,-0.21643054485321,0.000117965857498348,0.0143032185733318
0,-96.49,38.69,20,"November",2021,-2.06081104278564,-0.153365448117256,-0.670823037624359,-0.155594706535339,0.0106015112251043,0.0386007502675056
0,-94.68,38.51,17,"November",2021,-2.03602981567383,-0.13347564637661,-0.691573798656464,-0.103970892727375,-0.0123548330739141,0.119864672422409
0,-99.55,39.38,22,"November",2021,-2.22648501396179,-0.171721503138542,-0.621805250644684,-0.231381669640541,0.0683766826987267,-0.176063492894173
0,-97.39,35.65,22,"August",2020,2.30975937843323,-0.592869758605957,-0.644049465656281,-0.106974735856056,-0.35305455327034,0.0440315343439579
0,-94.8,37.35,23,"August",2020,2.07566452026367,-0.951007485389709,-0.362879484891891,-0.107400223612785,-0.264860659837723,0.100261211395264
0,-97.86,37.81,26,"August",2020,2.22908115386963,-0.947122693061829,-0.336698472499847,-0.152263090014458,-0.379077851772308,0.052153192460537
0,-96.49,38.69,25,"August",2020,2.27678155899048,-0.948868215084076,-0.438092887401581,-0.0672013089060783,-0.394083350896835,0.0973045378923416
0,-99.55,39.38,27,"August",2020,2.35211610794067,-0.919679462909698,-0.542788863182068,-0.212625727057457,-0.234322071075439,-0.106039248406887
0,-97.39,35.65,15,"February",2020,-1.96369099617004,0.33091214299202,-0.271084666252136,0.395098954439163,0.101228885352612,0.203026622533798
0,-97.39,35.65,13,"March",2020,-0.379904896020889,4.5769829750061,1.23185098171234,-0.431246936321259,0.0467003136873245,0.0538991317152977
0,-97.39,35.65,7,"September",2020,1.10566318035126,1.70074641704559,-0.478765934705734,-0.0485950633883476,0.0362400487065315,0.0640749260783195
0,-95.45,38.97,7,"September",2020,0.687675595283508,1.15556442737579,-0.534292995929718,0.194819316267967,0.217966824769974,0.0984303802251816
0,-97.39,35.65,24,"September",2020,0.799812138080597,-0.00139142782427371,-0.818845331668854,-0.106849908828735,-0.0924420207738876,0.203462645411491
0,-94.8,37.35,28,"September",2020,0.715899884700775,-0.29915127158165,-0.457449555397034,-0.199549898505211,-0.205000281333923,0.222341001033783
0,-97.21,36.11,24,"September",2020,0.733497023582458,-0.281338632106781,-0.817119121551514,-0.0973335355520248,-0.0705007910728455,0.181014835834503
0,-97.39,35.65,25,"April",2021,1.05385899543762,0.753255367279053,0.375383257865906,0.190034687519073,0.131793782114983,0.121503047645092
0,-95.45,38.97,30,"April",2021,1.00565207004547,0.204664841294289,0.744256377220154,0.196272537112236,0.00701930653303862,0.0422765798866749
0,-97.39,35.65,5,"February",2021,-2.22161245346069,-0.242886692285538,-0.0758006200194359,0.284315466880798,-0.000739841663744301,0.210111185908318
0,-97.39,35.65,26,"February",2021,-0.836381316184998,-0.694868326187134,0.521231830120087,-0.228780195116997,-0.144464895129204,0.262699633836746
0,-97.21,36.11,4,"March",2021,-0.873141646385193,-0.493154317140579,0.548400819301605,-0.210589468479156,-0.24096891283989,0.0929529517889023
0,-97.39,35.65,17,"June",2021,3.14862895011902,-0.330598920583725,-0.111937433481216,0.282870680093765,-0.463596612215042,0.0367608033120632
0,-94.8,37.35,12,"June",2021,3.14472103118896,0.187974750995636,0.353845149278641,0.155353367328644,-0.46697786450386,-0.00432712724432349
0,-97.86,37.81,15,"June",2021,3.06546187400818,-1.15725076198578,-0.0469783581793308,0.260593861341476,-0.212008208036423,0.00574787659570575
0,-96.49,38.69,17,"June",2021,3.00725030899048,-1.10919427871704,-0.0545150637626648,0.428900182247162,-0.279942780733109,-0.0205917432904243
0,-99.55,39.38,16,"June",2021,2.99713397026062,-1.12449502944946,-0.029757684096694,0.310257166624069,-0.0875875726342201,-0.131044313311577
0,-97.39,35.65,26,"March",2021,-0.00497337523847818,0.386906683444977,0.759492695331573,-0.137939035892487,-0.127436086535454,0.205280795693398
0,-95.45,38.97,28,"March",2021,-0.757428228855133,0.629607021808624,-0.0255635138601065,0.476097375154495,0.404798775911331,0.0672780871391296
0,-97.39,35.65,14,"May",2021,1.00545334815979,0.262146592140198,0.803543269634247,0.430007696151733,0.106945261359215,0.177569106221199
0,-94.8,37.35,12,"May",2021,0.678409278392792,1.00161635875702,1.09150409698486,0.51820981502533,0.195530533790588,0.0403372123837471
0,-97.21,36.11,12,"May",2021,1.00071322917938,0.101454041898251,0.757626533508301,0.477870136499405,0.0794284269213676,0.105111703276634
0,-99.55,39.38,16,"May",2021,0.632572889328003,1.4333279132843,1.47752475738525,0.381257325410843,0.236819326877594,-0.149356693029404
0,-97.39,35.65,27,"November",2021,-1.46691071987152,-0.291429191827774,-0.748006463050842,-0.482640415430069,-0.000415232207160443,-0.035546250641346
0,-97.39,35.65,18,"September",2021,1.7920755147934,-0.453237771987915,-1.2475368976593,-0.200417250394821,-0.291289776563644,0.100517824292183
0,-97.39,35.65,23,"April",2022,1.00160884857178,0.0226991884410381,0.354846090078354,0.246554955840111,0.064500704407692,0.0868832096457481
0,-95.45,38.97,26,"April",2022,0.688896536827087,0.144126057624817,0.54924213886261,0.412473380565643,0.17797988653183,0.0270720049738884
0,-97.39,35.65,19,"February",2022,-2.0320029258728,0.332023113965988,0.367867976427078,0.387458711862564,-0.119240298867226,-0.0335801504552364
0,-94.8,37.35,20,"February",2022,-2.42225241661072,-0.177964806556702,0.368940889835358,0.652599453926086,-0.193284124135971,0.0074876407161355
0,-97.39,35.65,29,"January",2022,-2.10071134567261,-0.236276432871819,-0.307470619678497,0.0302503816783428,0.00677012884989381,-0.0674778372049332
0,-94.8,37.35,30,"January",2022,-2.50494861602783,0.293330490589142,0.118542768061161,0.109964810311794,-0.172882914543152,-0.0656179860234261
0,-95.45,38.97,29,"January",2022,-2.75488114356995,-0.0430085323750973,-0.178491517901421,0.282820641994476,-0.0857219398021698,-0.0626451894640923
0,-97.39,35.65,19,"March",2022,0.00269281188957393,1.39896845817566,1.30760180950165,-0.697969019412994,-0.200396671891212,0.0752987191081047
0,-97.21,36.11,17,"March",2022,-0.185729905962944,1.61398148536682,1.53658080101013,-0.809909641742706,-0.069747231900692,0.00236049829982221
0,-94.8,37.35,11,"August",2020,2.32329106330872,1.19488930702209,-0.0795733332633972,0.0741477161645889,-0.211786091327667,-0.00917584542185068
0,-95.45,38.97,6,"August",2020,2.16985321044922,0.0446188040077686,-0.678297340869904,0.514494240283966,-0.0631016492843628,0.0819063484668732
0,-94.68,38.51,4,"August",2020,2.13141107559204,0.86135321855545,-0.059006355702877,0.23219895362854,-0.151769444346428,0.0547911934554577
0,-94.8,37.35,22,"June",2020,2.46734285354614,-0.662764966487885,-0.455114901065826,0.747845053672791,0.0657249316573143,0.0208193305879831
0,-94.8,37.35,8,"November",2020,-1.27278351783752,1.00691878795624,-0.682939231395721,-0.430206924676895,0.0783617421984673,0.0205629114061594
0,-94.8,37.35,13,"September",2020,0.895070850849152,-0.779344439506531,-0.345827102661133,-0.0902532339096069,-0.242776185274124,0.235979333519936
0,-97.21,36.11,14,"September",2020,1.02557468414307,-0.695089638233185,-0.5361607670784,-0.122218735516071,-0.194593369960785,0.186259403824806
0,-94.8,37.35,3,"April",2021,0.191106393933296,-1.10371124744415,0.55580061674118,0.193712756037712,-0.291879206895828,0.191627904772758
0,-96.49,38.69,1,"April",2021,0.256697714328766,0.215583801269531,1.36063253879547,-0.245763763785362,-0.370798915624619,0.0677932500839233
0,-97.21,36.11,1,"April",2021,0.420565783977509,-1.03320384025574,0.334794878959656,0.0598505586385727,-0.174370869994164,0.183444947004318
0,-94.68,38.51,31,"March",2021,0.140155896544456,-0.628128349781036,0.839531183242798,0.0988395437598228,-0.322404652833939,0.12792207300663
0,-94.8,37.35,18,"April",2021,-0.450793445110321,0.212475374341011,0.876730263233185,0.69786012172699,0.190787583589554,0.0618554688990116
0,-94.8,37.35,8,"August",2021,2.65566945075989,0.709166824817657,-0.687446177005768,0.238309979438782,-0.28415235877037,0.0153667228296399
0,-97.86,37.81,9,"August",2021,2.91128182411194,0.153647109866142,-0.600114285945892,-0.0103324744850397,-0.322521895170212,-0.112447261810303
0,-96.49,38.69,8,"August",2021,2.73273134231567,0.61890834569931,-0.610623240470886,0.13139645755291,-0.22061525285244,-0.0858083218336105
0,-94.68,38.51,12,"August",2021,3.0554780960083,3.20508027076721,0.795238137245178,-0.48580339550972,-0.706770777702332,-0.0320960953831673
0,-99.55,39.38,10,"August",2021,2.45703434944153,-0.515474617481232,-0.366188377141953,-0.0758558437228203,0.0748585015535355,-0.219533950090408
0,-94.8,37.35,28,"August",2021,2.55997896194458,-0.251397907733917,-1.41417443752289,0.226485148072243,-0.316941201686859,0.0660563632845879
0,-94.8,37.35,17,"July",2021,2.65883445739746,2.54569172859192,0.820631802082062,0.0142606748268008,-0.315282344818115,0.00255508115515113
0,-95.45,38.97,18,"July",2021,2.47355890274048,1.91154277324677,0.265454530715942,0.369874447584152,-0.0230446737259626,-0.0266673769801855
0,-97.21,36.11,19,"July",2021,2.6309232711792,-0.217814400792122,-0.930562973022461,0.692284345626831,-0.0406637154519558,0.0251420922577381
0,-94.8,37.35,23,"June",2021,2.97915124893188,2.41117215156555,1.0603312253952,-0.109669476747513,-0.409845739603043,-0.107979014515877
0,-95.45,38.97,19,"June",2021,2.9864604473114,1.52389812469482,0.173021003603935,0.317103892564774,-0.135059908032417,-0.157065272331238
0,-97.21,36.11,23,"June",2021,2.8599796295166,0.0201467126607895,-0.232360333204269,0.387447655200958,-0.151953563094139,-0.0508764907717705
0,-98.52,34.73,22,"June",2021,2.99676942825317,0.379944056272507,-0.019603231921792,0.24272021651268,-0.389353692531586,-0.0174562521278858
0,-94.68,38.51,18,"June",2021,3.09494423866272,2.93035912513733,1.0533994436264,-0.0926811024546623,-0.384609371423721,-0.147097155451775
0,-94.8,37.35,23,"May",2021,1.37208330631256,1.46157336235046,-0.624442100524902,0.919539272785187,0.652717471122742,-0.0123196309432387
0,-94.8,37.35,3,"April",2022,-0.160300567746162,-0.0846888646483421,0.681856274604797,0.212955951690674,-0.0517554059624672,0.102881573140621
0,-94.8,37.35,16,"April",2022,0.19512465596199,-0.545149505138397,0.538881659507751,0.479391187429428,0.0955225452780724,0.0839507207274437
0,-97.21,36.11,21,"April",2022,0.731304049491882,-0.832833468914032,0.0931623727083206,0.250302642583847,0.185026675462723,0.106392361223698
0,-99.28,36.68,15,"April",2022,0.435511916875839,-0.943204760551453,0.750420928001404,-0.0826071947813034,0.444429665803909,0.151650235056877
0,-94.8,37.35,14,"August",2022,2.33511972427368,0.509374439716339,-0.521774053573608,-0.0198137201368809,-0.140111342072487,-0.0751422718167305
0,-94.8,37.35,1,"July",2022,2.55001759529114,-0.906603455543518,-0.166267141699791,0.56905871629715,-0.0683440864086151,0.00680663622915745
0,-95.45,38.97,30,"June",2022,2.46167421340942,0.182852625846863,0.0825228542089462,0.583449900150299,0.0431762039661407,-0.0267148576676846
0,-94.8,37.35,10,"July",2022,3.18758869171143,-0.503021240234375,-1.06925523281097,0.62620347738266,-0.166199803352356,-0.0937243103981018
0,-94.8,37.35,19,"June",2022,3.0850887298584,-0.394110172986984,-0.597188353538513,0.556606113910675,-0.190141618251801,-0.0496339164674282
0,-97.21,36.11,21,"June",2022,3.36209988594055,-0.732976317405701,-0.815785944461823,0.520305156707764,-0.38603076338768,-0.0205816552042961
0,-99.28,36.68,24,"June",2022,3.37517333030701,0.556113064289093,-0.161633193492889,0.0509468726813793,-0.2143374979496,-0.163447856903076
0,-94.8,37.35,20,"May",2022,1.3948769569397,2.29734992980957,1.20928919315338,0.197204753756523,0.12422177195549,-0.0617107897996902
0,-94.68,38.51,20,"May",2022,1.54675340652466,2.19833087921143,1.58067345619202,0.138590767979622,-0.101907663047314,0.0266581866890192
0,-94.8,37.35,30,"May",2022,1.93848395347595,2.81367516517639,1.16570925712585,0.13474178314209,-0.0398116409778595,-0.0465296320617199
0,-97.21,36.11,31,"May",2022,1.91185033321381,0.615580022335052,-0.214859187602997,0.681036591529846,0.153434321284294,0.00912531558424234
0,-97.86,37.81,19,"March",2021,-0.916863560676575,1.33376014232635,0.576438724994659,0.109627217054367,0.153237327933311,-0.0036075715906918
0,-97.21,36.11,19,"March",2021,-0.448825389146805,0.00235323188826442,0.332683145999908,-0.00314652430824935,0.00918138865381479,0.0569441020488739
0,-99.55,39.38,20,"March",2021,-1.34111487865448,0.494793951511383,0.130759760737419,0.468340814113617,0.37029030919075,-0.0516446679830551
0,-99.55,39.38,21,"March",2021,-1.34111487865448,0.494793951511383,0.130759760737419,0.468340814113617,0.37029030919075,-0.0516446679830551
0,-99.28,36.68,20,"March",2021,-0.740247666835785,0.619766473770142,0.733583807945251,-0.03678884729743,0.0358434356749058,0.038254726678133
0,-97.86,37.81,9,"May",2022,2.18762540817261,0.143955260515213,-0.341893017292023,0.299440115690231,0.162276163697243,0.0142804300412536
0,-97.21,36.11,12,"May",2022,2.37639307975769,-0.0991364121437073,-0.918361663818359,0.503978073596954,-0.00459655886515975,-0.00864213239401579
0,-99.55,39.38,10,"May",2022,1.58191800117493,-0.452901154756546,1.01947557926178,-0.164740264415741,0.345841079950333,-0.101153515279293
0,-95.45,38.97,7,"December",2020,-2.52416014671326,-0.0106607358902693,-0.781623184680939,-0.137181222438812,0.0788761079311371,-0.0641924887895584
0,-97.21,36.11,7,"December",2020,-2.25352883338928,0.300191074609756,-0.576308608055115,-0.190560877323151,0.0700515657663345,-0.0495089329779148
0,-98.52,34.73,6,"December",2020,-2.01842427253723,-0.129309564828873,-0.66636735200882,-0.158595234155655,0.0322191268205643,0.0391828864812851
0,-95.45,38.97,26,"November",2020,-2.54516792297363,0.775903463363647,-0.627811133861542,-0.0557064637541771,0.113482087850571,0.0332178100943565
0,-95.45,38.97,29,"September",2020,-0.189667552709579,-0.888651907444,0.0611124373972416,-0.251854598522186,-0.203823581337929,0.0753688812255859
0,-95.45,38.97,13,"April",2021,-0.0271361880004406,-0.237586989998817,0.701698064804077,0.372036725282669,0.0255147386342287,0.0935181602835655
0,-95.45,38.97,4,"August",2021,2.51905155181885,-0.699677526950836,-0.597418487071991,0.511485278606415,-0.188233241438866,0.0705667287111282
0,-97.21,36.11,4,"August",2021,2.62276697158813,0.042810283601284,-0.512121021747589,0.245344012975693,-0.240408390760422,-0.00327692576684058
0,-95.45,38.97,5,"December",2021,-2.35426211357117,0.213213801383972,-1.15930211544037,-0.0965459272265434,0.239736631512642,0.0611758455634117
0,-94.8,37.35,9,"December",2021,-2.02690291404724,0.283354550600052,-1.21232330799103,-0.179267302155495,0.268447667360306,0.0505884699523449
0,-98.52,34.73,9,"December",2021,-1.59426617622375,-0.0567575208842754,-1.02379739284515,-0.34221813082695,0.146122843027115,-0.00489805312827229
0,-95.45,38.97,12,"December",2021,-2.53945589065552,0.525698184967041,-1.20439970493317,-0.0344138480722904,0.303136646747589,0.0693973526358604
0,-97.21,36.11,14,"December",2021,-1.96074521541595,0.325615137815475,-1.26102781295776,-0.179141640663147,0.279232800006866,0.0120115280151367
0,-97.39,35.65,11,"December",2021,-1.76958835124969,0.214319229125977,-1.35237765312195,-0.170858711004257,0.236027255654335,0.0944990068674088
0,-99.28,36.68,12,"December",2021,-2.18229293823242,-0.0479010790586472,-0.868564248085022,-0.311411947011948,0.171152889728546,-0.199928238987923
0,-95.45,38.97,23,"February",2021,-1.82215583324432,-1.22120606899261,1.11927664279938,0.182010740041733,-0.853366136550903,0.153770133852959
0,-95.45,38.97,5,"July",2021,2.41676378250122,0.226489633321762,-0.361956208944321,0.713480889797211,0.166204899549484,-0.0310657061636448
0,-95.45,38.97,8,"March",2021,-0.737819492816925,-0.113290183246136,-0.0744680613279343,0.00451875710859895,0.201357513666153,0.126682281494141
0,-94.8,37.35,7,"March",2021,-0.465725600719452,2.00868129730225,0.677025675773621,-0.327012002468109,-0.101254090666771,0.085377424955368
0,-95.45,38.97,29,"May",2021,1.44842195510864,1.34456026554108,0.780325353145599,0.653607666492462,0.208784401416779,0.0677154362201691
0,-95.45,38.97,10,"October",2021,0.720532238483429,6.09311151504517,1.77841603755951,-1.70818173885345,-0.607936978340149,-0.0378777347505093
0,-97.39,35.65,14,"October",2021,0.697174489498138,2.7661817073822,-0.2113116979599,-0.824646592140198,-0.176718384027481,0.0330543480813503
0,-95.45,38.97,10,"September",2021,1.70751440525055,-0.697238743305206,-0.735536217689514,-0.101520203053951,-0.308377891778946,0.157421126961708
0,-97.21,36.11,8,"September",2021,2.00679016113281,-0.885939836502075,-0.649479925632477,-0.380968183279037,-0.414743304252625,0.0423821397125721
0,-94.68,38.51,12,"September",2021,1.65360355377197,-0.70820552110672,-0.689790368080139,-0.0689856186509132,-0.32871225476265,0.199912786483765
0,-99.28,36.68,9,"September",2021,2.09961533546448,-0.853201448917389,-0.745441257953644,-0.482215911149979,-0.282213300466537,0.0193358212709427
0,-95.45,38.97,27,"September",2021,0.838893115520477,-0.743103623390198,-0.514988660812378,-0.343059152364731,-0.190625473856926,0.0714742839336395
0,-97.21,36.11,22,"September",2021,1.16503858566284,-0.723240256309509,-0.705384254455566,-0.476550370454788,-0.184969186782837,-0.014671360142529
0,-98.52,34.73,23,"September",2021,1.31576573848724,0.0905812978744507,-0.185771942138672,-0.723911762237549,-0.364687323570251,-0.00449000438675284
0,-95.45,38.97,11,"August",2022,2.44881153106689,-0.541870355606079,-0.884273767471313,0.444913119077682,-0.133784145116806,0.026484526693821
0,-97.21,36.11,11,"August",2022,2.92774987220764,0.457434773445129,-1.17163908481598,0.162901818752289,-0.228598803281784,-0.150729894638062
0,-95.45,38.97,13,"June",2022,3.06038093566895,0.00796732492744923,-0.881942987442017,0.784049034118652,-0.0621596686542034,-0.0754802152514458
0,-97.21,36.11,13,"June",2022,3.23769116401672,0.464193969964981,-0.924188911914825,0.607327401638031,-0.272801071405411,-0.0593436807394028
0,-98.52,34.73,10,"June",2022,3.27497291564941,-0.64969527721405,-0.944318234920502,0.498787015676498,-0.349005222320557,-0.0339819192886353
0,-95.45,38.97,4,"March",2022,-1.02020359039307,-1.18245720863342,0.721329569816589,-0.38296639919281,-0.259151369333267,-0.153900757431984
0,-97.21,36.11,3,"March",2022,-0.553099393844604,-1.34885406494141,0.767622649669647,-0.525397121906281,-0.462329745292664,-0.134063765406609
0,-98.52,34.73,3,"March",2022,-0.541943609714508,-1.23673701286316,0.654447138309479,-0.374969393014908,-0.429846704006195,0.0882758274674416
0,-96.49,38.69,8,"May",2022,0.424931049346924,1.72724878787994,0.908309400081635,0.550442397594452,0.394210636615753,0.0389159023761749
0,-94.68,38.51,2,"May",2022,0.743199110031128,2.7756609916687,1.5371230840683,0.189319059252739,0.100075125694275,0.0500226058065891
0,-97.21,36.11,21,"December",2020,-2.2102472782135,-0.208710119128227,-0.588853716850281,-0.230529859662056,-0.0441806465387344,-0.0552864745259285
0,-94.8,37.35,22,"December",2020,-2.55644226074219,-0.0501708500087261,-0.668366074562073,-0.0229269340634346,-0.0137274395674467,0.029765835031867
0,-95.45,38.97,21,"December",2020,-2.78932929039001,-0.0228204783052206,-0.667240619659424,-0.034101814031601,-0.0181421674787998,-0.0747868344187737
0,-97.21,36.11,19,"November",2020,-1.31552493572235,0.173405215144157,-1.22322177886963,-0.264712154865265,0.182671949267387,0.0896912440657616
0,-97.39,35.65,20,"November",2020,-1.18811583518982,0.0968092232942581,-1.29920268058777,-0.227445691823959,0.145433887839317,0.174715235829353
0,-97.21,36.11,22,"October",2020,-0.403800070285797,-0.0818035528063774,-0.978304088115692,-0.183044567704201,0.165542304515839,0.105371929705143
0,-97.21,36.11,18,"August",2021,2.29126262664795,0.269552260637283,-1.33908379077911,0.416237026453018,-0.057828139513731,0.0362824909389019
0,-97.21,36.11,14,"January",2021,-2.4471869468689,-0.199239388108253,-0.386174976825714,0.112516514956951,-0.116709642112255,0.106187798082829
0,-95.45,38.97,12,"January",2021,-2.82786917686462,0.283853769302368,-0.799376845359802,0.301898896694183,0.109980940818787,0.213870033621788
0,-97.21,36.11,4,"June",2021,2.36622381210327,-1.00122392177582,0.018804844468832,0.587937593460083,-0.23141585290432,0.167973846197128
0,-97.21,36.11,3,"May",2021,1.23955607414246,-0.662375867366791,0.418354511260986,0.357701301574707,-0.0543759129941463,0.105667017400265
0,-98.52,34.73,6,"May",2021,1.1821323633194,-0.653632581233978,0.355161249637604,0.240368276834488,0.172483935952187,0.212789088487625
0,-97.21,36.11,6,"October",2021,0.494838684797287,0.505918443202972,-0.81744247674942,-0.361655414104462,0.116898082196712,0.00975456833839417
0,-97.21,36.11,20,"October",2021,-0.171199142932892,-0.490566164255142,-0.697967767715454,-0.411799311637878,-0.0359996519982815,0.0459755249321461
0,-97.21,36.11,14,"April",2022,0.421644985675812,-1.19838857650757,0.733578681945801,-0.00690371356904507,-0.115359134972095,0.0218505132943392
0,-97.21,36.11,27,"August",2022,2.20255541801453,-0.0708273574709892,-0.62856924533844,-0.16349022090435,-0.137046903371811,0.0190261509269476
0,-97.21,36.11,10,"February",2022,-1.41802847385406,0.115306682884693,-0.0308623854070902,-0.120222583413124,-0.0715302973985672,-0.0129172718152404
0,-97.21,36.11,16,"February",2022,-1.41802847385406,0.115306682884693,-0.0308623854070902,-0.120222583413124,-0.0715302973985672,-0.0129172718152404
0,-95.45,38.97,14,"February",2022,-2.24839305877686,0.119822792708874,0.269760131835938,0.181284815073013,-0.115909621119499,-0.0489329770207405
0,-97.21,36.11,12,"July",2022,3.26233386993408,-0.868947446346283,-0.699153959751129,0.154201865196228,-0.266520947217941,-0.212069749832153
0,-97.21,36.11,27,"July",2022,3.54650497436523,-0.246264412999153,-1.75905966758728,0.445420801639557,-0.274724572896957,-0.252587169408798
0,-99.28,36.68,28,"June",2021,2.06001114845276,2.04202580451965,-0.54176390171051,0.731390357017517,0.53008246421814,-0.165280133485794
0,-99.28,36.68,19,"September",2022,1.99557161331177,-0.0968167781829834,-1.54533779621124,-0.355778694152832,-0.0690924972295761,-0.0449855364859104
0,-94.8,37.35,24,"October",2020,-1.97783982753754,4.05512285232544,0.624264657497406,-0.18010401725769,0.199372738599777,0.0879536047577858
0,-98.52,34.73,24,"October",2020,-1.6569983959198,3.48731064796448,1.02183520793915,-0.359164923429489,-0.0851887464523315,0.0659604594111443
0,-94.8,37.35,14,"February",2021,-4.21384525299072,0.637615084648132,0.585714757442474,1.65594744682312,-0.294142991304398,0.019634498283267
0,-94.8,37.35,18,"January",2021,-2.26103687286377,1.32752299308777,0.478056222200394,-0.219379097223282,-0.372230499982834,0.147379338741302
0,-97.39,35.65,30,"October",2021,-0.56182074546814,0.320132970809937,-0.860113620758057,-0.287531644105911,0.0885743275284767,0.142855316400528
0,-99.28,36.68,6,"March",2020,-0.552844345569611,-0.728595316410065,0.407471805810928,-0.189864680171013,-0.143670320510864,0.0345915667712688
0,-99.28,36.68,29,"January",2021,-2.55442523956299,-0.00862668734043837,-0.241900131106377,0.227666631340981,0.123844787478447,0.0785090550780296
